game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Lotto,January,680904.0,"169,005",2017,Online
Lucky Day Lotto,January,519490.0,"406,786",2017,Online
Mega Millions ,January,623048.0,"149,777",2017,Online
Pick 3,January,117236.0,"7,565",2017,Online
Pick3 Fireball,January,59059.0,"3,801",2017,Online
Pick 4,January,145418.0,"9,807",2017,Online
Pick4 Fireball,January,80696.0,"5,441",2017,Online
Powerball,January,680088.0,"108,469",2017,Online
EZ Match,January,3344.0,"3,344",2017,60002
Instant Rollup,January,364200.0,Not Tracked,2017,60002
Lotto,January,22696.0,"6,883",2017,60002
Lucky Day Lotto,January,27941.0,"11,913",2017,60002
Mega Millions ,January,21131.0,"7,693",2017,60002
Pick 3,January,21482.5,"19,999",2017,60002
Pick3 Fireball,January,4899.5,"4,911",2017,60002
Pick 4,January,9218.0,"9,456",2017,60002
Pick4 Fireball,January,3398.0,"3,823",2017,60002
Powerball,January,22431.0,"5,832",2017,60002
EZ Match,January,2847.0,"2,847",2017,60004
Instant Rollup,January,335550.0,Not Tracked,2017,60004
Lotto,January,28567.0,"8,593",2017,60004
Lucky Day Lotto,January,38454.0,"15,759",2017,60004
Mega Millions ,January,28853.0,"10,002",2017,60004
Pick 3,January,13162.0,"13,509",2017,60004
Pick3 Fireball,January,2212.5,"2,434",2017,60004
Pick 4,January,11409.0,"13,399",2017,60004
Pick4 Fireball,January,3016.5,"4,194",2017,60004
Powerball,January,27056.0,"6,737",2017,60004
EZ Match,January,3178.0,"3,178",2017,60005
Instant Rollup,January,438750.0,Not Tracked,2017,60005
Lotto,January,31851.0,"9,353",2017,60005
Lucky Day Lotto,January,42945.0,"16,434",2017,60005
Mega Millions ,January,31705.0,"10,163",2017,60005
Pick 3,January,17287.0,"16,340",2017,60005
Pick3 Fireball,January,3063.5,"3,287",2017,60005
Pick 4,January,13107.5,"15,658",2017,60005
Pick4 Fireball,January,4000.0,"5,533",2017,60005
Powerball,January,31713.0,"6,979",2017,60005
EZ Match,January,5954.0,"5,954",2017,60007
Instant Rollup,January,736200.0,Not Tracked,2017,60007
Lotto,January,44764.0,"13,127",2017,60007
Lucky Day Lotto,January,61696.0,"25,693",2017,60007
Mega Millions ,January,44649.0,"14,720",2017,60007
Pick 3,January,54131.5,"52,339",2017,60007
Pick3 Fireball,January,25131.5,"24,836",2017,60007
Pick 4,January,32179.0,"42,005",2017,60007
Pick4 Fireball,January,13220.0,"16,541",2017,60007
Powerball,January,38312.0,"9,263",2017,60007
EZ Match,January,1790.0,"1,790",2017,60008
Instant Rollup,January,419700.0,Not Tracked,2017,60008
Lotto,January,18291.0,"5,863",2017,60008
Lucky Day Lotto,January,21636.0,"9,370",2017,60008
Mega Millions ,January,21322.0,"7,429",2017,60008
Pick 3,January,19312.0,"17,812",2017,60008
Pick3 Fireball,January,3718.0,"3,248",2017,60008
Pick 4,January,9407.0,"11,010",2017,60008
Pick4 Fireball,January,2650.0,"3,479",2017,60008
Powerball,January,19507.0,"4,908",2017,60008
EZ Match,January,1076.0,"1,076",2017,60010
Instant Rollup,January,86550.0,Not Tracked,2017,60010
Lotto,January,10059.0,"2,860",2017,60010
Lucky Day Lotto,January,9409.0,"3,949",2017,60010
Mega Millions ,January,11948.0,"3,586",2017,60010
Pick 3,January,1195.5,"1,267",2017,60010
Pick3 Fireball,January,354.0,349,2017,60010
Pick 4,January,1007.5,"1,317",2017,60010
Pick4 Fireball,January,546.0,826,2017,60010
Powerball,January,11069.0,"2,384",2017,60010
EZ Match,January,22.0,22,2017,60012
Instant Rollup,January,6900.0,Not Tracked,2017,60012
Lotto,January,311.0,106,2017,60012
Lucky Day Lotto,January,622.0,207,2017,60012
Mega Millions ,January,349.0,158,2017,60012
Pick 3,January,77.0,101,2017,60012
Pick3 Fireball,January,27.0,53,2017,60012
Pick 4,January,35.0,35,2017,60012
Pick4 Fireball,January,3.0,5,2017,60012
Powerball,January,389.0,123,2017,60012
EZ Match,January,1266.0,"1,266",2017,60013
Instant Rollup,January,191100.0,Not Tracked,2017,60013
Lotto,January,15001.0,"4,593",2017,60013
Lucky Day Lotto,January,15763.0,"7,082",2017,60013
Mega Millions ,January,15239.0,"4,957",2017,60013
Pick 3,January,3341.5,"3,173",2017,60013
Pick3 Fireball,January,343.0,310,2017,60013
Pick 4,January,2180.0,"2,398",2017,60013
Pick4 Fireball,January,376.0,446,2017,60013
Powerball,January,13006.0,"3,189",2017,60013
EZ Match,January,4022.0,"4,022",2017,60014
Instant Rollup,January,494550.0,Not Tracked,2017,60014
Lotto,January,26037.0,"8,921",2017,60014
Lucky Day Lotto,January,36720.0,"15,779",2017,60014
Mega Millions ,January,26603.0,"10,206",2017,60014
Pick 3,January,8773.0,"7,735",2017,60014
Pick3 Fireball,January,2120.5,"1,971",2017,60014
Pick 4,January,4285.5,"4,481",2017,60014
Pick4 Fireball,January,1606.5,"1,657",2017,60014
Powerball,January,26646.0,"7,141",2017,60014
EZ Match,January,924.0,924,2017,60015
Instant Rollup,January,205350.0,Not Tracked,2017,60015
Lotto,January,13666.0,"4,484",2017,60015
Lucky Day Lotto,January,20380.0,"7,499",2017,60015
Mega Millions ,January,20077.0,"6,196",2017,60015
Pick 3,January,6951.0,"6,211",2017,60015
Pick3 Fireball,January,2488.5,"2,208",2017,60015
Pick 4,January,6966.0,"6,669",2017,60015
Pick4 Fireball,January,3151.5,"3,349",2017,60015
Powerball,January,19642.0,"4,102",2017,60015
EZ Match,January,8697.0,"8,697",2017,60016
Instant Rollup,January,1265250.0,Not Tracked,2017,60016
Lotto,January,55587.0,"18,026",2017,60016
Lucky Day Lotto,January,88114.0,"38,057",2017,60016
Mega Millions ,January,58212.0,"20,413",2017,60016
Pick 3,January,65341.5,"66,493",2017,60016
Pick3 Fireball,January,14373.0,"15,453",2017,60016
Pick 4,January,42386.5,"51,362",2017,60016
Pick4 Fireball,January,12434.0,"15,843",2017,60016
Powerball,January,52843.0,"13,288",2017,60016
EZ Match,January,3894.0,"3,894",2017,60018
Instant Rollup,January,853650.0,Not Tracked,2017,60018
Lotto,January,34639.0,"12,315",2017,60018
Lucky Day Lotto,January,53694.0,"24,536",2017,60018
Mega Millions ,January,45369.0,"16,191",2017,60018
Pick 3,January,39248.5,"39,863",2017,60018
Pick3 Fireball,January,8217.0,"9,356",2017,60018
Pick 4,January,35576.0,"45,844",2017,60018
Pick4 Fireball,January,9596.5,"13,383",2017,60018
Powerball,January,43742.0,"10,997",2017,60018
EZ Match,January,2003.0,"2,003",2017,60020
Instant Rollup,January,317100.0,Not Tracked,2017,60020
Lotto,January,13512.0,"4,635",2017,60020
Lucky Day Lotto,January,20455.0,"8,385",2017,60020
Mega Millions ,January,15352.0,"5,400",2017,60020
Pick 3,January,8609.5,"9,287",2017,60020
Pick3 Fireball,January,3514.5,"5,070",2017,60020
Pick 4,January,4532.0,"5,235",2017,60020
Pick4 Fireball,January,2201.5,"2,816",2017,60020
Powerball,January,13824.0,"3,528",2017,60020
EZ Match,January,158.0,158,2017,60021
Instant Rollup,January,91650.0,Not Tracked,2017,60021
Lotto,January,5640.0,"2,086",2017,60021
Lucky Day Lotto,January,6114.0,"2,513",2017,60021
Mega Millions ,January,7073.0,"2,460",2017,60021
Pick 3,January,1019.5,963,2017,60021
Pick3 Fireball,January,119.0,83,2017,60021
